avg_rtt,distance
171.99175357818604,8726.359743618494 km
282.0177435874939,8093.396577289904 km
77.5073766708374,1502.0850172362425 km
263.2267236709595,8812.265789914987 km
190.7640814781189,8492.443583711902 km
101.54346227645874,9558.423436372286 km
296.8658447265625,16577.083466934895 km
167.384934425354,9576.833902061499 km
25.529170036315918,636.9432817896684 km
46.34894132614136,1862.7971323226063 km
248.80388975143433,9620.352461094324 km
30.690979957580566,798.766936005347 km
169.89485025405884,11133.494645070934 km
27.36765146255493,799.6042378129597 km
101.0702133178711,6447.350649351979 km
179.89078760147095,10297.31922053998 km
185.02371311187744,6144.208525821681 km
29.345083236694336,469.69131804988524 km
16.420492759117714,178.9488257762044 km
118.31357479095459,7332.327749550435 km
33.90623331069946,824.0713756771787 km
76.26488208770752,1034.1686610683932 km
270.0824499130249,9739.706700228511 km
36.105966567993164,917.55705045512 km
45.899498462677,1358.5239152388451 km
177.49850373519095,6439.661888136079 km
293.3336853981018,9650.662227206049 km
35.7722282409668,920.9330850419616 km
45.32033518741005,1007.5062497076724 km
44.149136543273926,1166.6663672632194 km
112.20321655273438,7992.324781041701 km
28.579580783843994,550.1596381746676 km
50.709474086761475,1976.2046922764798 km
129.73066568374634,7829.703518027016 km
